asset_id,maintenance_date,cost_usd,failure_type,downtime_hours
REF002129,2024-02-02,83151.4,Overheating,104
PIP001150,2024-02-25,30107.62,Overheating,117
REF000097,2019-11-18,106637.69,Electrical Fault,4
PIP002214,2021-05-05,16789.2,Corrosion,92
PIP000756,2024-10-30,29995.86,Pump Failure,81
PIP001968,2022-06-07,8802.72,Electrical Fault,26
WEL002001,2021-04-09,101623.09,Electrical Fault,50
REF002481,2019-06-28,157902.92,Corrosion,80
WEL000535,2018-09-02,39933.5,Pump Failure,11
REF001113,2023-08-26,55918.14,Overheating,46
WEL002963,2020-07-28,26334.65,Pump Failure,22
WEL001554,2020-05-16,6239.47,Overheating,40
REF002217,2024-07-13,148535.48,Overheating,76
PIP000313,2022-08-23,82133.22,Electrical Fault,72
REF000959,2021-07-13,53886.53,Overheating,62
PIP000895,2021-05-07,54840.42,Corrosion,66
REF001485,2022-03-07,103176.23,Corrosion,36
PIP000547,2021-10-14,126557.59,Valve Leak,67
PIP002167,2018-06-08,17487.02,Pump Failure,20
REF001367,2018-12-14,72927.56,Electrical Fault,34
PIP001938,2020-05-05,144314.81,Valve Leak,67
REF002221,2024-02-12,95520.21,Overheating,57
PIP001659,2021-06-14,196379.76,Pump Failure,115
PIP000200,2024-12-28,96068.16,Pump Failure,3
REF002747,2019-08-19,131325.73,Valve Leak,106
PIP002718,2024-09-29,128113.37,Pump Failure,102
REF000115,2019-01-19,36876.9,Electrical Fault,101
PIP000363,2024-08-22,179888.66,Pump Failure,31
REF001944,2021-10-14,166121.26,Corrosion,103
PIP001334,2021-06-25,4009.0,Pump Failure,115
REF002370,2021-01-16,179656.81,Overheating,40
REF000459,2020-07-05,172777.07,Valve Leak,101
PIP001530,2023-12-04,47769.12,Electrical Fault,115
WEL002484,2018-01-21,97999.21,Valve Leak,74
REF001221,2021-05-16,115140.35,Electrical Fault,73
PIP001745,2021-04-23,116415.19,Electrical Fault,112
PIP001522,2019-12-13,67721.34,Valve Leak,19
PIP001656,2021-04-22,52433.62,Overheating,7
PIP001620,2022-10-10,140234.35,Valve Leak,88
REF002605,2024-03-15,22552.29,Pump Failure,104
WEL001443,2023-11-29,139086.5,Valve Leak,57
WEL002577,2023-11-29,69199.8,Corrosion,52
REF001217,2022-09-19,193679.59,Pump Failure,29
REF000808,2023-05-27,7664.23,Valve Leak,101
REF002571,2022-06-18,42974.38,Valve Leak,78
WEL001325,2019-07-03,118519.53,Pump Failure,44
WEL000920,2021-06-30,72428.34,Pump Failure,93
PIP002354,2022-01-13,95734.88,Pump Failure,52
REF002822,2023-03-05,97943.48,Pump Failure,9
REF000348,2020-08-10,194792.09,Corrosion,70
REF001570,2019-09-04,197805.84,Valve Leak,108
WEL002018,2018-04-16,192207.41,Overheating,75
WEL000594,2023-12-18,96833.68,Valve Leak,3
PIP001019,2021-09-27,133482.06,Valve Leak,94
WEL000691,2018-08-15,56790.9,Pump Failure,1
REF002266,2021-03-20,22617.25,Electrical Fault,55
REF002791,2018-05-23,121222.42,Overheating,111
REF000710,2024-04-30,134588.86,Pump Failure,10
WEL000201,2022-09-12,162776.61,Corrosion,53
WEL000785,2018-05-26,166244.83,Overheating,99
WEL002651,2022-10-12,198531.25,Pump Failure,116
WEL002063,2021-08-27,77999.11,Electrical Fault,118
REF002761,2021-06-08,156601.49,Valve Leak,118
WEL000717,2019-12-06,56319.83,Pump Failure,77
REF001189,2018-07-14,34960.43,Electrical Fault,31
WEL001786,2018-03-15,34697.85,Overheating,102
PIP002899,2021-03-13,188771.55,Electrical Fault,35
WEL001829,2018-04-21,199899.61,Pump Failure,1
REF001535,2023-06-23,66566.9,Corrosion,96
REF002251,2023-06-11,37471.37,Valve Leak,14
PIP000055,2021-02-26,41335.32,Corrosion,45
WEL002601,2022-05-27,166193.54,Pump Failure,94
WEL001776,2022-09-19,123466.88,Overheating,96
WEL001838,2023-11-23,89770.95,Overheating,37
WEL002665,2024-10-06,53657.4,Corrosion,65
WEL000339,2019-10-02,50491.7,Electrical Fault,15
PIP001662,2020-02-04,70119.33,Corrosion,89
WEL001783,2020-10-16,135943.04,Corrosion,75
WEL000931,2024-11-14,50793.34,Overheating,17
WEL001003,2018-04-29,107954.47,Electrical Fault,43
PIP001151,2019-11-18,7932.18,Electrical Fault,66
REF000700,2018-03-02,8306.39,Corrosion,1
WEL002048,2021-06-03,168125.29,Overheating,58
WEL000635,2020-11-23,176545.35,Valve Leak,34
WEL000443,2018-03-26,102237.27,Overheating,9
REF002172,2022-05-16,18349.87,Overheating,84
WEL000165,2020-02-18,191349.24,Overheating,116
WEL001264,2021-01-13,4111.58,Valve Leak,12
PIP001551,2019-05-15,121902.01,Overheating,27
REF001296,2022-10-30,71284.83,Electrical Fault,86
WEL002226,2023-09-28,131299.02,Electrical Fault,116
WEL000055,2019-06-13,81420.63,Electrical Fault,112
PIP001187,2020-04-03,179189.08,Electrical Fault,12
PIP000620,2022-06-16,110218.84,Corrosion,61
PIP000937,2019-10-28,50147.67,Corrosion,34
REF002598,2018-07-20,174829.64,Electrical Fault,50
PIP000669,2022-04-17,134252.15,Electrical Fault,104
PIP002756,2021-01-10,196400.81,Corrosion,36
PIP001121,2018-04-27,37665.3,Valve Leak,109
PIP002144,2019-11-01,169215.83,Valve Leak,70
REF001943,2018-01-18,122043.34,Electrical Fault,44
REF000325,2021-06-07,187265.64,Valve Leak,106
REF000902,2020-11-28,52459.14,Valve Leak,27
REF001845,2024-03-08,37342.54,Electrical Fault,33
REF000852,2024-07-06,80584.84,Overheating,6
REF002603,2021-11-19,154285.75,Valve Leak,89
WEL000824,2022-06-27,98370.4,Overheating,57
REF002314,2021-02-28,61825.34,Corrosion,18
REF000663,2023-06-08,138260.85,Valve Leak,78
PIP001699,2022-01-27,134737.27,Pump Failure,106
REF002109,2022-07-01,186197.17,Overheating,2
WEL002726,2022-06-05,11921.22,Overheating,117
WEL000083,2024-06-09,63781.0,Valve Leak,59
WEL002553,2020-06-14,195835.75,Valve Leak,14
WEL000192,2022-04-25,9235.46,Overheating,101
REF002419,2021-09-06,10863.93,Overheating,41
PIP000339,2023-03-24,43456.39,Pump Failure,83
REF002400,2019-09-30,160196.03,Electrical Fault,51
WEL001783,2018-05-06,127991.89,Pump Failure,44
REF001714,2019-02-23,126392.89,Valve Leak,45
REF002955,2019-01-03,34583.64,Overheating,54
WEL000558,2018-07-09,15054.84,Pump Failure,11
PIP002996,2023-06-21,64569.81,Overheating,18
PIP002829,2020-05-05,180312.27,Corrosion,105
WEL001299,2023-10-21,105706.4,Valve Leak,57
WEL000458,2018-09-09,166859.56,Pump Failure,55
WEL002269,2022-02-21,100589.17,Corrosion,15
PIP001928,2020-03-06,22056.85,Valve Leak,106
REF002025,2024-12-09,21638.83,Overheating,30
REF002768,2024-02-19,10641.45,Valve Leak,85
PIP000470,2020-08-15,166773.16,Electrical Fault,29
PIP000118,2021-06-02,193756.01,Overheating,116
WEL002896,2020-11-18,131437.05,Electrical Fault,65
WEL001279,2018-06-13,96694.5,Corrosion,18
PIP001384,2022-05-08,100841.15,Valve Leak,20
PIP001827,2021-05-04,145841.57,Electrical Fault,30
WEL001027,2022-05-22,99218.49,Pump Failure,28
PIP000159,2024-05-29,101981.78,Electrical Fault,110
REF001184,2019-03-20,111828.67,Valve Leak,46
PIP002071,2024-05-15,20285.32,Overheating,94
PIP001696,2021-12-04,82161.23,Electrical Fault,11
PIP001834,2020-02-06,14683.32,Corrosion,32
REF002744,2021-12-10,117561.47,Overheating,24
PIP000624,2018-12-09,86066.21,Valve Leak,39
WEL000575,2019-04-30,110428.53,Corrosion,115
REF001831,2018-12-28,19406.03,Valve Leak,101
WEL001635,2024-03-25,163531.13,Electrical Fault,116
WEL002810,2020-12-07,131058.49,Pump Failure,76
REF001552,2019-10-12,145878.06,Corrosion,27
PIP000320,2023-09-15,9218.16,Pump Failure,63
REF000297,2021-01-19,132608.61,Overheating,110
PIP001326,2019-01-06,122966.18,Overheating,41
PIP001819,2022-09-08,109242.01,Corrosion,82
WEL000619,2021-01-04,182742.35,Electrical Fault,48
REF002535,2021-11-01,125046.48,Valve Leak,96
PIP000072,2019-09-12,90363.8,Corrosion,40
PIP000906,2018-08-06,158832.18,Overheating,54
WEL000616,2019-10-03,127211.07,Valve Leak,9
REF001290,2019-10-15,3661.39,Overheating,73
REF001246,2020-12-04,18908.3,Electrical Fault,32
REF001697,2020-06-20,197646.34,Electrical Fault,29
WEL000235,2021-12-21,83214.94,Corrosion,21
PIP001090,2023-04-20,77821.39,Pump Failure,23
PIP002693,2021-10-16,32572.48,Corrosion,105
WEL002895,2023-12-18,41721.78,Electrical Fault,53
WEL002265,2024-09-10,86090.24,Pump Failure,18
REF000845,2020-05-11,164473.75,Pump Failure,88
REF002983,2023-12-13,109293.54,Pump Failure,61
REF001994,2023-10-06,196436.47,Corrosion,88
WEL000768,2019-11-24,156921.76,Valve Leak,114
PIP002017,2023-12-07,152346.19,Pump Failure,73
PIP001061,2023-11-16,115586.24,Electrical Fault,41
WEL001985,2019-10-09,180887.85,Corrosion,89
WEL001287,2019-11-20,183828.4,Corrosion,50
WEL001292,2022-06-24,50655.05,Corrosion,83
REF001137,2018-11-23,73465.55,Pump Failure,71
WEL000059,2024-11-29,15737.71,Electrical Fault,109
PIP001796,2024-07-20,156623.63,Corrosion,8
REF000547,2020-01-02,85900.58,Pump Failure,67
REF001733,2024-01-09,32018.5,Overheating,21
REF002846,2022-10-23,107614.73,Valve Leak,59
PIP000267,2021-09-03,180357.63,Valve Leak,18
PIP002848,2021-07-19,161933.16,Pump Failure,54
WEL000543,2021-06-01,51032.58,Pump Failure,60
REF000390,2021-12-12,84268.78,Overheating,17
REF000429,2019-09-04,146470.76,Valve Leak,23
PIP002930,2022-02-17,78225.32,Corrosion,3
PIP002880,2019-07-10,6864.76,Electrical Fault,9
REF002062,2021-01-19,43499.24,Corrosion,117
PIP000762,2023-08-12,87816.41,Pump Failure,7
REF002546,2023-01-17,41974.82,Overheating,102
PIP001338,2021-03-19,121636.93,Corrosion,43
REF000552,2022-12-15,194218.7,Electrical Fault,12
PIP002634,2021-01-04,6472.7,Corrosion,29
WEL002261,2021-08-29,85594.52,Pump Failure,61
REF002977,2019-06-10,143415.26,Valve Leak,61
PIP001253,2023-05-22,192600.83,Electrical Fault,53
PIP002972,2023-05-29,77382.22,Pump Failure,51
WEL000860,2019-09-15,181802.98,Pump Failure,43
WEL002502,2022-06-06,70130.74,Corrosion,73
PIP002536,2022-06-03,99900.71,Valve Leak,29
REF002543,2023-01-30,79622.78,Overheating,65
REF002612,2019-11-19,141292.2,Electrical Fault,98
WEL000799,2023-03-29,122513.44,Overheating,115
PIP001733,2019-10-09,168361.09,Valve Leak,75
WEL002162,2021-06-22,73800.17,Overheating,16
PIP000177,2018-09-04,83826.81,Corrosion,34
WEL002038,2024-10-28,15534.46,Valve Leak,56
REF001413,2022-05-17,96300.27,Overheating,38
PIP002119,2024-11-15,191076.79,Corrosion,35
REF001313,2023-10-03,95336.48,Pump Failure,12
REF002409,2021-04-16,40769.28,Electrical Fault,48
REF000866,2023-09-10,129605.05,Electrical Fault,29
PIP000820,2021-07-23,52700.02,Overheating,8
REF001531,2021-08-21,16475.1,Pump Failure,95
PIP001816,2019-08-05,166436.5,Electrical Fault,69
WEL001209,2022-05-29,38947.38,Valve Leak,106
PIP001620,2021-03-31,7427.91,Electrical Fault,51
REF002150,2020-11-16,79402.27,Overheating,85
WEL001092,2023-07-05,14262.94,Pump Failure,25
WEL000635,2019-01-09,147569.44,Valve Leak,79
REF000282,2019-09-02,136550.43,Overheating,54
REF000375,2018-12-14,126522.06,Electrical Fault,70
WEL001867,2024-07-25,34515.47,Pump Failure,60
REF001470,2023-12-03,35026.81,Overheating,84
PIP001170,2019-03-12,185099.28,Electrical Fault,13
PIP000601,2020-02-22,56267.44,Valve Leak,11
WEL002542,2018-10-18,193267.61,Pump Failure,98
WEL002792,2019-10-16,119626.01,Pump Failure,24
PIP002188,2019-01-10,25233.62,Corrosion,35
WEL002081,2023-02-26,69335.16,Electrical Fault,20
REF002363,2021-06-17,97395.17,Overheating,24
REF002893,2023-10-15,15966.62,Valve Leak,57
REF000087,2019-12-02,196885.83,Electrical Fault,13
PIP000232,2020-02-25,185723.43,Pump Failure,96
PIP002945,2021-08-19,128127.06,Electrical Fault,107
REF000730,2021-05-27,182801.02,Overheating,102
REF002588,2024-05-05,170407.26,Overheating,88
WEL002271,2021-11-11,155720.59,Corrosion,33
PIP000493,2023-09-25,26013.06,Overheating,111
PIP002378,2022-05-20,68865.52,Valve Leak,79
PIP001939,2020-10-23,78536.24,Electrical Fault,20
WEL002428,2022-01-29,36227.56,Pump Failure,102
WEL001785,2024-12-11,85935.41,Corrosion,24
REF001677,2024-03-28,118802.5,Valve Leak,72
REF000684,2018-03-13,59923.89,Pump Failure,60
WEL001862,2023-07-24,76382.49,Electrical Fault,83
WEL002647,2019-06-01,178462.34,Pump Failure,115
WEL001570,2020-10-04,32057.9,Overheating,80
PIP000693,2018-01-04,153178.86,Electrical Fault,69
REF002354,2024-08-14,110139.1,Corrosion,54
WEL001067,2019-02-07,70690.88,Overheating,19
REF002334,2020-09-02,178474.45,Overheating,18
REF002946,2018-01-07,199255.45,Electrical Fault,20
PIP001311,2020-02-18,146111.75,Overheating,48
PIP002998,2024-05-12,111214.78,Electrical Fault,29
REF000107,2020-01-13,142286.79,Overheating,41
REF001296,2019-08-04,2087.24,Pump Failure,53
PIP000694,2019-06-04,94164.51,Overheating,5
WEL001572,2022-10-18,120435.32,Corrosion,54
PIP002299,2020-10-12,37351.4,Electrical Fault,115
REF002283,2019-11-17,1037.58,Overheating,45
WEL001605,2021-06-26,37263.32,Pump Failure,26
WEL001494,2023-05-12,38025.91,Pump Failure,34
WEL000901,2023-04-08,80104.5,Pump Failure,29
REF002519,2018-11-21,91271.39,Electrical Fault,89
PIP000689,2023-02-05,73121.34,Overheating,118
WEL001293,2019-08-08,163117.79,Electrical Fault,27
PIP002713,2019-11-29,26705.41,Overheating,81
REF000628,2023-08-20,152424.23,Pump Failure,52
REF000589,2018-12-05,1682.13,Overheating,22
PIP002819,2021-07-06,82261.46,Corrosion,31
WEL002079,2018-12-04,41277.0,Overheating,52
PIP002786,2019-12-31,109373.06,Valve Leak,32
REF000671,2018-09-23,72896.7,Electrical Fault,92
WEL002797,2023-02-02,158190.44,Corrosion,3
PIP000754,2021-10-04,147589.71,Pump Failure,76
PIP001989,2019-01-15,24586.38,Corrosion,14
PIP002357,2018-07-21,91948.64,Electrical Fault,56
WEL001939,2023-03-11,123782.7,Pump Failure,93
REF000746,2019-02-22,25449.53,Overheating,95
REF001506,2022-06-08,141738.07,Electrical Fault,116
WEL001463,2020-06-01,39396.6,Valve Leak,76
REF000408,2020-05-22,97946.26,Valve Leak,14
REF002675,2024-10-10,29722.89,Valve Leak,62
WEL002371,2018-01-01,98244.15,Valve Leak,57
REF000004,2021-01-19,155269.92,Corrosion,82
PIP002973,2020-08-30,40571.3,Electrical Fault,86
PIP001015,2020-02-04,11978.44,Electrical Fault,44
WEL001119,2021-03-16,76855.65,Corrosion,42
REF000286,2021-01-12,31533.96,Overheating,96
PIP000312,2019-02-05,59330.69,Corrosion,81
REF000486,2023-01-29,38887.61,Pump Failure,42
PIP000380,2020-08-22,36685.29,Overheating,90
PIP001492,2021-04-04,79011.04,Valve Leak,69
PIP001180,2022-06-30,42780.29,Pump Failure,108
WEL000944,2018-05-17,101438.37,Electrical Fault,38
WEL001723,2019-10-28,166968.46,Electrical Fault,26
REF002107,2022-09-27,148252.97,Electrical Fault,57
WEL000517,2021-05-02,197232.7,Electrical Fault,57
PIP000936,2022-08-24,25998.74,Valve Leak,63
PIP002340,2018-01-27,31596.44,Corrosion,17
REF000094,2019-07-26,65209.15,Pump Failure,71
PIP002658,2018-05-01,150185.58,Corrosion,85
WEL001815,2022-10-13,110882.96,Pump Failure,95
PIP000673,2018-07-07,38695.73,Pump Failure,81
WEL001230,2018-08-06,162085.39,Corrosion,30
PIP000294,2021-11-05,29138.01,Pump Failure,63
WEL002653,2019-05-01,83157.63,Overheating,2
WEL002436,2021-03-24,149039.11,Pump Failure,40
REF001216,2022-11-08,175884.2,Corrosion,114
REF002943,2019-01-22,32225.57,Valve Leak,31
REF001571,2018-05-02,178071.96,Valve Leak,52
REF001837,2024-03-05,147423.54,Electrical Fault,75
REF001312,2019-05-27,12526.5,Valve Leak,73
REF001167,2022-12-17,150841.44,Corrosion,3
WEL001270,2020-08-09,127680.35,Corrosion,91
WEL001369,2022-01-09,71678.75,Pump Failure,61
REF002390,2019-03-02,176062.87,Corrosion,116
PIP001676,2020-01-18,194519.61,Overheating,55
PIP002570,2023-11-04,159623.06,Electrical Fault,70
WEL002079,2018-10-07,125592.3,Pump Failure,95
WEL001786,2018-03-01,132873.91,Corrosion,54
WEL001736,2022-06-13,88503.88,Pump Failure,35
WEL000819,2019-11-09,80328.84,Overheating,68
PIP002998,2021-03-20,64038.42,Corrosion,68
REF002637,2024-01-12,183551.24,Overheating,76
WEL000160,2023-12-29,125991.63,Corrosion,93
PIP001553,2018-03-31,71315.94,Electrical Fault,34
WEL000172,2024-06-21,140677.67,Electrical Fault,31
PIP001226,2022-05-15,63184.52,Valve Leak,113
WEL001207,2023-07-17,114996.36,Valve Leak,108
PIP000518,2024-12-24,111367.46,Valve Leak,82
REF001902,2021-07-28,106900.38,Corrosion,47
REF000235,2022-06-08,155461.39,Electrical Fault,77
WEL002378,2023-10-04,165401.69,Electrical Fault,77
PIP000395,2021-11-15,63870.87,Corrosion,73
WEL000028,2020-03-09,169491.55,Pump Failure,109
REF001993,2022-09-14,11972.82,Overheating,50
REF002798,2020-01-25,77857.07,Valve Leak,25
WEL001748,2024-05-23,167307.96,Electrical Fault,86
REF000875,2023-06-25,57215.5,Valve Leak,67
REF002934,2018-02-06,50486.49,Pump Failure,46
WEL000092,2021-02-04,198436.49,Pump Failure,93
WEL002561,2021-09-26,10313.92,Corrosion,52
PIP000833,2020-08-23,35498.56,Pump Failure,96
WEL001655,2024-11-17,98539.33,Overheating,119
PIP000536,2023-04-21,14759.31,Overheating,68
WEL001387,2023-02-17,183437.47,Valve Leak,99
REF000125,2022-05-27,161880.06,Overheating,60
WEL000429,2019-07-10,90924.47,Corrosion,13
PIP001231,2024-03-16,137687.2,Electrical Fault,84
PIP001122,2021-09-25,107088.51,Valve Leak,65
REF002357,2019-05-15,153117.99,Electrical Fault,49
PIP000376,2023-04-21,33313.53,Electrical Fault,95
PIP002129,2023-11-05,63568.19,Pump Failure,33
WEL002442,2022-11-15,162879.98,Electrical Fault,117
REF000248,2023-07-03,98621.68,Overheating,92
REF002797,2018-05-31,190344.48,Pump Failure,110
WEL001005,2018-05-12,147908.82,Pump Failure,25
REF002316,2019-06-08,190335.75,Electrical Fault,64
REF001490,2018-11-11,138557.75,Corrosion,39
REF000301,2018-08-30,183033.66,Electrical Fault,86
PIP001111,2018-07-26,38686.83,Valve Leak,98
PIP000655,2019-10-12,142617.97,Pump Failure,42
PIP001362,2021-04-09,185910.46,Pump Failure,17
REF001508,2020-12-18,54208.75,Pump Failure,82
PIP002270,2023-08-31,193832.57,Valve Leak,104
WEL000544,2021-07-10,171971.52,Pump Failure,44
PIP000336,2019-03-26,69644.96,Pump Failure,104
PIP001716,2022-07-20,85557.53,Electrical Fault,24
PIP000075,2020-12-24,50714.91,Corrosion,1
REF001489,2018-07-05,192162.74,Pump Failure,10
REF001258,2024-07-06,161155.22,Corrosion,72
PIP000459,2018-03-13,149254.8,Corrosion,52
WEL001342,2023-09-01,86219.4,Valve Leak,100
REF000757,2020-04-29,19707.63,Pump Failure,115
WEL000195,2022-11-07,81038.64,Corrosion,82
WEL000829,2022-03-16,34691.73,Corrosion,35
WEL000095,2023-03-04,5251.67,Electrical Fault,87
WEL002957,2019-01-19,83921.72,Pump Failure,83
REF002954,2022-02-02,95155.14,Overheating,95
REF000740,2023-11-05,50371.35,Electrical Fault,57
REF001567,2020-08-21,154074.5,Electrical Fault,57
WEL001534,2024-10-13,90149.97,Corrosion,83
PIP000061,2018-06-07,1128.89,Corrosion,42
PIP001233,2018-07-21,61347.49,Electrical Fault,72
WEL000319,2020-02-12,85173.44,Electrical Fault,65
WEL001243,2018-10-22,165116.79,Corrosion,87
PIP002926,2023-03-03,70815.76,Electrical Fault,97
WEL000808,2023-02-23,198075.45,Valve Leak,118
REF000658,2019-02-06,116154.07,Pump Failure,71
REF000697,2024-07-05,125589.8,Electrical Fault,61
REF000613,2018-10-30,84782.52,Corrosion,72
REF002039,2020-09-17,84857.84,Corrosion,45
PIP001952,2023-05-07,58784.12,Valve Leak,49
PIP000833,2023-12-30,77156.12,Pump Failure,51
PIP001545,2021-10-15,49163.44,Valve Leak,39
PIP001545,2023-09-29,38866.18,Electrical Fault,115
REF002154,2024-08-29,52366.0,Pump Failure,60
PIP002671,2022-02-18,98682.45,Electrical Fault,102
REF000341,2019-10-09,102626.26,Valve Leak,108
WEL000987,2020-08-13,65811.6,Valve Leak,36
PIP000959,2021-05-05,59658.77,Overheating,78
REF001248,2021-06-21,13663.07,Corrosion,74
REF001745,2019-12-15,128629.19,Pump Failure,44
WEL001568,2023-06-23,138765.74,Valve Leak,16
REF002275,2020-12-17,33831.51,Pump Failure,45
PIP000676,2018-09-23,157956.47,Valve Leak,29
PIP000543,2021-01-14,178070.66,Overheating,46
PIP002213,2024-09-28,78782.23,Overheating,40
REF002865,2024-06-11,131135.86,Overheating,8
REF001378,2020-12-10,104115.88,Overheating,69
REF002679,2023-04-26,88493.27,Electrical Fault,71
REF001900,2019-07-26,88534.88,Pump Failure,54
WEL001135,2020-11-17,115015.26,Overheating,88
WEL001889,2019-12-20,161912.58,Overheating,9
PIP001361,2018-04-15,71767.31,Overheating,100
PIP000729,2023-03-25,109735.85,Electrical Fault,2
REF000705,2018-10-18,168211.21,Corrosion,24
WEL000402,2020-06-11,170557.43,Electrical Fault,8
PIP001415,2018-07-20,150301.15,Overheating,8
PIP000873,2021-06-16,24835.8,Pump Failure,1
WEL002746,2018-05-15,178851.75,Electrical Fault,22
WEL000589,2021-10-21,166204.88,Electrical Fault,72
PIP000947,2021-01-10,118475.26,Pump Failure,37
WEL002349,2023-01-31,19644.94,Electrical Fault,73
WEL002340,2019-11-28,112822.5,Electrical Fault,42
PIP001865,2018-02-19,49980.78,Pump Failure,46
REF000977,2021-11-23,133042.1,Pump Failure,40
REF001241,2020-01-27,169815.74,Pump Failure,53
WEL002225,2019-03-29,104049.34,Corrosion,16
WEL000318,2019-12-09,60487.76,Corrosion,16
REF000014,2019-08-15,194450.63,Overheating,28
REF001325,2021-06-11,151443.58,Overheating,116
PIP002223,2020-01-15,49516.66,Overheating,38
WEL002930,2024-06-18,121421.47,Pump Failure,48
REF000323,2021-03-30,94508.42,Overheating,46
REF002942,2024-09-13,55243.66,Pump Failure,3
WEL001108,2023-10-12,27669.59,Overheating,116
WEL000899,2022-01-01,56424.36,Pump Failure,25
