asset_id,co2_tons,methane_leakage_tons,energy_consumption_mwh,date
PIP002042,1924.84,198.57,30124.91,2022-10-06
WEL000046,3527.96,101.39,21963.17,2019-02-27
WEL000675,4957.2,145.79,1882.98,2021-01-22
REF000939,2049.37,121.0,3027.95,2023-06-21
PIP000029,1800.45,143.76,34891.87,2024-12-04
WEL002778,2206.79,120.31,19851.29,2023-08-14
REF002259,1222.89,88.62,17384.95,2021-05-11
WEL002034,4520.66,28.47,17221.92,2019-10-15
WEL000143,1451.55,60.38,14994.42,2021-12-30
WEL002613,1915.06,116.11,6862.96,2022-05-05
REF002556,1005.86,139.28,47920.26,2024-08-21
PIP002680,3957.91,132.58,34822.54,2023-05-14
REF000337,1953.44,3.43,22577.26,2022-01-07
PIP001159,4697.82,75.59,40698.18,2018-07-30
WEL000120,2531.52,0.94,36652.44,2018-07-03
PIP002153,1956.98,136.28,49634.63,2021-08-15
REF002642,2361.27,183.77,12817.38,2020-10-09
PIP002613,819.5,184.95,30311.3,2022-12-21
PIP002662,1251.14,8.65,20450.96,2023-01-25
PIP001420,2423.84,19.28,26042.26,2023-08-03
REF002393,1997.52,89.0,45661.39,2021-01-04
REF001000,4702.53,169.11,21844.14,2021-01-16
WEL002700,4607.76,185.45,7081.53,2018-08-30
WEL001643,3039.64,20.77,29305.88,2018-07-05
REF000480,778.27,62.33,4960.61,2024-01-08
PIP002338,566.69,97.65,18212.97,2023-09-26
PIP000523,1812.98,14.38,4621.76,2018-05-13
WEL001692,4781.77,61.44,43952.44,2019-07-04
PIP000115,1837.45,29.45,45430.64,2022-08-12
PIP002188,244.6,169.54,30325.26,2023-08-05
PIP000795,3548.95,190.42,2502.58,2024-02-19
WEL001155,2768.46,111.96,36783.41,2020-04-24
REF000805,3890.77,88.88,7900.35,2019-09-21
PIP002285,2260.51,89.31,30833.18,2024-12-21
REF001973,2483.41,151.34,7125.54,2024-10-06
REF000271,320.1,132.79,15087.84,2020-07-22
PIP000279,3936.0,191.83,28237.22,2021-01-20
REF000554,122.44,181.86,30684.26,2023-05-02
REF000724,3518.36,126.6,44148.63,2021-04-23
REF000960,4156.1,44.48,39367.67,2018-02-23
PIP000354,2122.1,34.91,17889.66,2019-07-22
REF000937,1191.49,142.7,48925.71,2020-02-07
REF001206,1141.84,21.88,41409.37,2020-08-22
PIP000457,429.63,13.16,46226.58,2024-11-16
WEL000029,1484.99,56.63,42132.48,2019-01-23
REF002978,1463.57,29.5,14107.67,2024-05-16
WEL002810,725.23,39.68,47172.26,2020-01-05
WEL002580,2646.1,105.03,44827.77,2022-08-21
REF002448,3856.03,49.69,40270.2,2022-09-23
WEL002223,580.89,16.48,32214.85,2021-04-22
PIP002390,1060.35,98.26,4005.75,2021-10-01
PIP001809,4844.83,102.31,16035.16,2023-07-27
WEL002787,3065.58,31.1,114.08,2019-12-26
WEL002537,2051.53,111.53,5512.07,2018-01-22
PIP002165,4852.89,44.79,42961.64,2024-02-02
REF002044,1606.41,161.17,45499.13,2022-05-29
REF002331,3237.48,55.96,17262.6,2024-09-23
PIP002051,2151.85,29.21,18068.73,2018-05-17
REF000449,1757.29,60.24,37245.27,2021-09-15
PIP001653,635.99,104.27,3957.51,2023-05-05
WEL000391,558.48,9.67,7860.06,2018-09-05
WEL000293,4179.27,100.33,33834.6,2024-12-04
REF001788,1960.71,100.01,44615.01,2020-01-17
PIP000891,316.67,37.31,2377.31,2023-06-23
REF001120,1934.94,168.4,30543.97,2019-05-12
REF001710,884.97,14.27,37628.43,2020-03-22
REF000933,351.32,55.4,3708.42,2023-10-04
WEL001428,4638.27,30.28,23845.25,2019-05-29
REF000352,4823.41,146.34,15010.81,2024-01-30
WEL001287,1492.54,188.66,34889.53,2024-06-26
PIP001718,1201.19,171.6,24406.66,2023-02-10
WEL000101,4188.44,195.71,14122.25,2019-02-17
WEL001562,2348.58,45.8,32945.28,2020-06-13
PIP002307,3776.02,132.5,7055.47,2022-07-29
WEL000341,2167.1,135.2,14631.07,2020-05-08
WEL000080,4680.56,17.64,1587.68,2021-03-17
PIP000267,2144.02,41.97,8823.15,2020-10-20
WEL001399,2499.62,34.81,49642.61,2023-03-25
REF000066,1368.18,99.16,15716.31,2019-12-22
PIP001156,2424.57,189.23,27088.43,2019-12-21
REF001826,3338.97,89.06,2471.45,2024-08-26
PIP002337,4911.32,158.82,17096.55,2024-02-04
PIP002308,4600.54,100.41,37754.62,2023-05-07
WEL001532,277.86,23.1,45219.22,2022-10-29
REF001260,1903.4,158.47,10218.0,2024-08-10
REF000820,3634.99,137.78,33453.3,2018-07-22
PIP002619,1460.85,94.79,1212.84,2023-12-13
PIP000245,1971.0,127.19,48963.19,2022-01-10
REF001533,929.89,69.17,18011.86,2018-06-17
REF002148,883.14,169.13,22000.37,2018-10-16
WEL000770,1691.46,42.0,44949.93,2024-03-22
REF000877,3085.53,128.06,46376.18,2018-05-29
REF000335,456.57,2.27,48578.81,2024-05-25
REF002791,4539.89,154.54,44751.42,2019-03-01
REF002645,4274.31,136.19,3093.28,2018-09-17
REF001879,1228.2,17.8,17930.52,2024-10-04
PIP000543,4621.39,121.1,33660.62,2024-02-06
PIP000449,1429.46,147.31,4421.62,2020-08-06
REF001762,3609.14,100.88,49670.83,2023-05-06
REF001401,2197.04,18.64,38243.0,2023-02-20
PIP002601,1528.44,67.01,39264.62,2019-02-25
REF002593,2882.66,91.34,49277.17,2023-10-30
PIP001908,4362.17,112.57,2775.26,2018-12-25
REF001272,891.07,176.22,24827.47,2023-09-23
REF002159,4601.34,7.35,31463.26,2022-05-06
REF002895,1291.66,12.88,9564.96,2018-06-10
WEL000027,3132.22,117.65,17191.61,2024-06-18
WEL002953,4017.3,192.92,7279.88,2019-10-10
PIP001977,462.45,2.5,25922.29,2022-02-23
WEL001686,1316.88,113.19,44848.93,2023-03-18
WEL000756,1419.57,27.5,17270.01,2021-06-21
WEL001941,2970.12,168.48,7561.6,2020-03-26
WEL001075,2229.92,156.11,1598.04,2019-01-25
REF002336,3375.6,137.75,33126.01,2021-05-27
WEL001956,3648.87,70.41,40344.54,2019-04-15
PIP002057,4874.33,147.86,16047.94,2022-08-26
WEL002878,762.52,140.36,13999.84,2023-01-06
WEL000909,53.36,0.46,39898.96,2018-08-20
REF001424,3391.43,160.39,26066.16,2023-09-19
WEL001709,3676.61,24.75,10772.6,2021-07-21
WEL000048,2095.2,199.46,27357.43,2024-07-15
PIP001618,3841.69,158.21,1919.25,2021-01-01
PIP000265,950.14,159.56,6247.06,2019-06-22
WEL001391,484.75,188.62,9087.56,2022-10-06
PIP000069,1508.75,199.75,49847.09,2024-02-22
PIP002822,3301.76,107.64,35247.38,2019-12-26
REF002126,3121.27,143.62,40867.08,2020-12-07
WEL000318,2825.14,140.54,34896.55,2023-10-18
REF001906,1820.01,150.0,49192.69,2023-10-07
PIP000163,2268.88,53.98,3494.96,2019-05-11
PIP000827,641.14,79.54,38477.57,2023-02-22
REF002881,900.0,120.92,4221.22,2024-02-27
WEL001048,2601.32,31.52,46604.44,2019-09-11
WEL000295,3516.42,65.08,34160.62,2021-02-08
REF001496,3586.61,113.3,25878.56,2020-11-08
PIP000883,1459.09,44.93,47365.29,2018-04-22
REF000262,686.19,19.4,41560.77,2020-02-05
PIP001291,2266.36,99.57,41441.32,2018-05-19
WEL002874,173.69,102.57,15136.3,2021-10-04
WEL001381,4673.31,24.16,9030.94,2021-07-27
WEL001643,4238.28,0.55,44019.37,2019-07-07
REF001478,1692.82,71.97,29339.54,2018-02-18
REF000330,4494.32,122.11,40999.99,2021-02-23
REF002901,1152.47,110.47,8952.12,2023-08-01
WEL002798,2816.5,198.28,19251.63,2019-08-18
PIP001460,757.46,46.08,43074.29,2020-06-18
WEL002109,2422.77,162.12,44662.98,2020-10-23
REF001658,135.77,85.66,11073.79,2022-06-23
REF002113,476.71,32.66,1905.91,2024-02-23
WEL001577,2464.13,157.72,42393.66,2019-05-09
REF000050,2994.95,117.33,34129.1,2023-12-22
REF001142,4534.22,21.24,2641.52,2020-02-29
WEL000186,744.88,37.68,44801.62,2022-03-20
PIP001785,966.4,75.31,30020.38,2021-03-07
REF001412,2003.92,108.93,36437.37,2019-11-21
REF001111,3180.76,117.35,38733.07,2018-07-27
REF000434,3749.31,49.32,13447.39,2018-06-10
PIP002000,951.96,123.83,42065.25,2022-01-20
WEL001459,2802.85,135.84,44840.24,2022-01-27
WEL002511,3538.34,69.53,38658.13,2020-09-19
WEL001311,3754.27,110.88,42407.65,2023-12-02
WEL002234,4990.24,33.51,12594.53,2018-02-08
PIP001115,4953.26,116.75,21130.21,2019-07-12
REF001740,2817.69,134.02,42226.7,2022-07-29
REF001493,2128.87,57.85,49701.55,2023-05-24
REF000336,1387.56,147.47,41784.53,2020-06-17
REF002150,4583.07,132.42,45969.98,2020-12-15
PIP000598,2109.06,146.9,32854.27,2022-10-30
WEL002762,936.74,48.93,12021.12,2024-03-14
PIP001249,4621.56,59.39,34168.91,2021-10-04
PIP001822,4749.68,57.85,44323.8,2023-12-02
WEL001399,3845.93,27.74,24335.61,2018-12-15
WEL001903,2767.79,142.49,29143.66,2018-04-07
PIP000223,1408.67,49.61,25101.08,2023-02-18
WEL002222,1274.69,6.39,571.89,2023-10-26
REF000374,3419.75,89.86,15492.01,2018-02-25
WEL001069,1186.28,61.57,7248.97,2018-03-08
WEL000002,881.0,42.64,42418.34,2018-10-16
PIP000697,3895.37,92.45,4176.28,2024-02-08
PIP002907,4362.52,162.91,14915.11,2022-01-16
PIP002894,2822.16,185.45,42016.69,2019-05-22
WEL002727,2095.39,121.56,45007.41,2020-10-06
WEL000495,959.62,148.41,31079.68,2019-10-04
REF001234,4198.72,27.1,36721.62,2021-07-28
PIP002710,456.89,75.65,28271.29,2020-11-22
PIP000479,3602.76,193.32,23521.62,2021-03-15
PIP000994,1745.02,111.94,129.25,2023-02-03
PIP002698,537.03,133.31,34904.1,2020-05-10
WEL000453,1449.21,117.94,20233.59,2018-09-13
PIP001100,4552.52,15.55,7745.96,2019-07-07
REF001452,1237.27,118.82,30485.92,2022-01-26
PIP001192,2383.2,66.87,45610.61,2022-08-08
WEL000343,1121.56,13.89,8059.34,2019-07-18
WEL001250,47.29,42.81,33546.99,2023-07-30
PIP000622,3017.17,144.14,633.39,2021-09-12
PIP000287,267.97,133.38,30847.05,2023-06-29
REF000549,2972.05,78.63,20856.83,2018-06-26
PIP000853,1932.92,168.55,21310.92,2020-10-07
REF000861,4836.5,75.05,5321.43,2019-02-22
WEL001489,3289.7,93.79,22290.68,2019-05-10
PIP001737,2952.97,94.94,42966.39,2021-04-04
PIP002408,2746.37,14.83,41005.84,2018-08-26
REF000171,4782.24,139.98,11798.96,2019-02-19
PIP000422,3558.65,123.68,33315.44,2022-03-16
REF001302,4407.23,95.48,48386.64,2024-12-25
PIP001084,2582.71,144.5,32398.01,2020-09-29
REF002488,1054.46,194.59,5322.3,2019-05-10
REF002968,2928.34,69.09,7692.21,2018-09-27
WEL000537,752.56,198.63,24209.24,2023-12-19
WEL001689,3370.11,166.22,20299.26,2020-05-12
PIP002785,1184.01,134.19,998.75,2020-09-02
PIP002144,4063.08,160.22,31271.3,2018-10-31
WEL000137,168.12,150.12,35001.6,2024-06-08
PIP002462,4171.73,123.85,7761.85,2022-05-23
REF001915,3324.24,25.54,38009.64,2022-02-28
WEL000805,4595.77,113.5,27023.28,2019-05-04
PIP002690,956.76,29.86,15814.84,2022-04-30
WEL000361,3466.94,106.24,40022.7,2023-03-18
REF001682,4191.85,124.93,30171.22,2018-03-04
PIP001138,1626.82,34.81,19163.29,2023-06-19
WEL000549,4944.19,81.75,13244.11,2021-07-25
WEL000244,2996.94,135.79,19663.6,2023-07-21
WEL001961,4214.43,156.58,24690.63,2020-11-19
REF001038,4179.04,189.03,45207.7,2021-01-04
PIP001864,516.94,31.71,36357.13,2020-01-29
WEL000683,4338.62,9.99,18715.52,2022-03-02
WEL001570,2535.39,197.99,643.12,2021-11-06
REF001497,3865.07,27.88,15640.32,2019-01-30
WEL002327,2671.98,199.43,38150.02,2023-12-27
PIP001722,2297.58,101.47,26727.98,2022-03-10
REF001481,1591.84,1.0,19688.06,2021-02-07
WEL002818,2189.79,126.24,23390.11,2022-11-01
PIP000159,4392.06,74.38,10630.07,2019-01-02
PIP000618,117.12,152.61,39910.65,2022-12-10
WEL001466,4892.12,153.02,40379.62,2019-01-07
REF001112,4271.04,67.88,4980.68,2020-04-15
REF002060,3214.42,92.48,13544.15,2019-02-22
REF002096,1862.3,55.88,44056.09,2019-05-11
REF001569,1288.3,112.87,36631.73,2020-11-13
REF001469,521.78,92.09,18685.97,2018-08-08
PIP001891,3499.37,167.96,48002.19,2023-01-09
REF000683,1531.3,71.3,9658.23,2021-05-02
REF002675,1926.13,148.54,7492.94,2018-04-13
WEL001177,4989.87,111.61,37186.06,2022-05-17
PIP002976,2018.27,56.07,12180.82,2024-03-12
PIP001952,1735.26,57.21,15205.41,2021-04-23
WEL002975,4343.87,151.55,49216.21,2023-12-07
PIP001635,3751.75,120.78,2886.6,2023-04-21
WEL000171,2267.74,112.24,36478.1,2021-06-09
WEL002616,2924.22,145.99,22600.33,2023-09-24
WEL001108,1807.56,89.68,11554.52,2024-02-28
PIP000687,1403.05,51.89,8718.74,2018-07-30
REF001373,2445.08,3.94,37833.5,2021-03-16
PIP002203,4246.26,141.32,9902.04,2019-02-22
WEL001730,505.0,158.51,39384.07,2021-11-12
PIP000577,3671.5,53.87,36769.28,2023-12-28
WEL001475,4528.11,139.06,30843.53,2023-02-15
REF002337,2904.49,133.12,4529.38,2018-06-09
WEL000183,4990.59,18.06,22828.72,2023-07-15
WEL001604,3615.85,37.83,37138.83,2021-10-30
REF002979,1585.58,199.73,48808.65,2023-08-30
PIP001613,670.68,146.09,42927.25,2022-11-18
WEL000789,4857.61,168.24,21735.76,2021-11-06
REF002854,4626.42,63.76,21601.29,2021-03-01
PIP002870,3623.22,157.26,34166.57,2019-05-06
WEL002251,1703.9,196.66,47312.15,2020-05-11
WEL000543,3395.19,5.7,28400.05,2022-07-26
PIP001963,1505.78,18.99,46582.34,2021-01-10
PIP001050,2200.98,36.31,38613.06,2020-02-09
PIP001152,807.9,49.6,28665.57,2021-01-26
PIP002593,1019.79,133.83,43844.76,2023-11-08
REF001760,1722.72,78.36,2945.85,2023-01-05
REF001186,2800.6,150.9,38908.31,2021-05-31
WEL000341,1595.12,54.43,29205.86,2018-09-01
WEL002414,4812.91,21.64,42353.26,2021-12-10
REF000212,3715.75,51.76,48167.28,2019-02-07
WEL002210,4525.01,67.4,15019.69,2024-03-30
PIP000213,3926.94,185.05,30782.39,2018-03-17
REF001632,4803.01,127.21,2713.27,2024-06-26
REF002326,337.74,43.42,16502.95,2023-06-05
REF002135,2677.15,34.32,8367.52,2018-09-28
PIP001428,1038.83,90.44,34409.83,2022-09-08
REF001272,2554.28,82.61,20181.34,2023-05-21
REF001652,3021.11,152.5,12934.1,2023-10-09
PIP002424,1988.83,16.98,21594.36,2021-01-11
WEL001944,3023.1,10.25,20534.51,2020-03-31
WEL000246,2629.02,51.34,6336.02,2020-12-10
WEL000655,2384.39,102.2,25088.81,2019-03-16
WEL000253,976.65,59.41,20789.89,2018-02-13
PIP001261,1680.67,66.89,23702.26,2018-06-01
REF002704,4707.37,188.81,22398.67,2020-10-25
WEL001004,2036.13,77.92,33034.87,2021-05-27
REF002266,504.38,3.0,40078.23,2023-08-11
REF002663,3947.05,164.39,836.18,2018-11-09
REF001061,4796.75,76.82,16762.97,2021-10-28
PIP002152,4805.66,183.72,46674.88,2019-03-20
WEL002614,2764.84,153.32,25705.5,2018-12-02
PIP000527,1270.64,168.1,3612.35,2019-06-07
REF000107,2068.05,191.88,33792.06,2022-07-25
PIP001275,4369.66,59.07,44598.38,2023-08-13
REF002782,3820.57,137.78,30318.75,2019-08-29
PIP001551,2751.73,53.65,34348.41,2024-07-03
REF001748,284.86,34.68,1673.42,2022-11-02
REF000967,3826.56,164.69,35935.3,2023-10-25
REF000067,4915.62,13.15,32895.69,2020-04-08
PIP001835,1505.81,54.49,33882.74,2019-06-01
WEL000641,1687.71,104.44,18298.63,2023-03-03
REF000828,3557.36,193.26,47050.09,2024-09-07
REF001945,2593.54,43.06,11636.05,2019-04-17
REF001157,2271.62,115.34,35355.67,2022-06-03
WEL000691,1930.07,82.55,23529.38,2024-05-12
REF000756,2052.79,174.66,38863.54,2024-03-26
PIP000066,1793.18,158.56,33436.69,2020-04-26
PIP002014,3614.99,147.12,36425.07,2024-04-12
WEL000121,921.92,117.41,37451.98,2020-01-16
PIP001480,116.78,5.02,35603.12,2024-04-24
PIP001469,429.08,16.23,20960.37,2018-07-10
WEL001165,4366.92,57.99,22226.39,2020-11-10
PIP000283,600.31,182.73,32135.84,2019-12-13
REF002047,2303.82,178.19,44197.15,2020-10-15
PIP000606,2083.48,86.8,27354.41,2018-07-13
REF001099,90.13,153.38,2696.38,2024-04-17
WEL001694,427.67,159.68,40027.92,2024-01-21
PIP000928,793.14,0.79,25615.82,2020-02-09
REF001825,2525.94,73.56,6007.26,2021-02-28
WEL000814,3457.34,124.41,614.98,2024-03-30
WEL001799,4558.72,26.64,28145.33,2022-05-12
REF001422,1173.09,139.28,39270.31,2024-11-21
REF000042,3553.08,122.81,15902.79,2018-04-12
PIP001189,3228.87,58.54,23748.51,2020-06-28
WEL002487,4608.94,143.29,11874.6,2018-12-25
WEL001418,4413.84,126.93,10596.93,2018-10-25
WEL002813,3312.38,95.16,33880.84,2019-01-03
WEL001083,2043.25,55.97,6814.76,2024-03-10
REF000834,198.21,28.07,14021.34,2021-04-15
PIP002659,1248.84,132.25,13888.28,2019-06-13
PIP002515,4093.86,95.23,29966.3,2019-04-05
PIP001367,3021.67,132.48,6736.37,2022-06-03
PIP000543,2705.93,158.91,31575.2,2018-07-27
REF001080,1290.2,36.63,1122.67,2021-09-13
WEL002037,2103.42,55.21,44674.86,2022-07-22
WEL000494,2805.1,104.12,42477.09,2018-09-24
WEL002421,3683.24,26.68,8423.86,2018-12-24
PIP000422,2926.49,72.68,8876.84,2022-04-29
REF001491,3400.52,144.57,34145.91,2023-07-10
PIP002224,1363.94,10.98,39050.88,2019-08-26
REF001849,364.19,109.71,38772.13,2018-08-03
REF001447,377.43,188.47,13386.48,2023-04-10
REF000286,4413.88,173.13,43314.79,2018-09-03
WEL001151,4364.68,111.12,21435.64,2023-11-07
PIP001884,1011.77,69.54,10628.52,2023-11-08
PIP002926,4859.46,125.19,13309.62,2023-01-29
WEL000586,1200.05,1.48,15287.79,2023-10-10
WEL002202,971.5,175.02,31322.77,2019-12-19
WEL002545,2958.43,12.59,38020.94,2024-01-19
PIP001989,2552.15,120.49,49357.46,2020-09-12
WEL001516,4677.97,44.93,16537.63,2021-03-14
WEL002789,3664.45,70.34,12289.79,2018-08-25
REF001653,1939.12,98.55,460.73,2023-03-05
WEL000038,2978.73,179.27,14151.32,2018-03-30
WEL002136,774.17,139.41,4817.91,2018-04-13
PIP001456,2863.28,97.15,33692.01,2020-03-18
PIP000858,2946.55,83.09,10675.67,2019-05-25
WEL000836,3307.51,136.72,28497.76,2024-09-18
WEL001440,2831.47,62.95,35145.71,2018-07-19
REF001338,1800.7,176.11,31925.89,2020-09-16
PIP002283,4308.65,47.83,38086.45,2024-10-05
REF000885,4038.95,192.02,12042.59,2024-05-11
REF001124,4621.37,190.09,19336.56,2021-08-02
REF001713,2708.23,18.54,34744.22,2021-02-06
WEL000445,3970.89,39.26,29440.81,2024-02-06
PIP000882,1700.92,102.18,29254.86,2018-11-17
REF001894,4512.8,179.83,20058.4,2022-06-28
WEL001779,603.7,34.49,1262.96,2024-02-24
PIP001409,2873.06,162.4,16140.06,2022-04-07
WEL001754,2685.43,83.17,1972.7,2019-07-11
PIP001141,2054.74,44.7,38229.08,2019-09-25
WEL002524,4574.72,24.48,48295.83,2018-06-30
PIP001146,3608.56,67.42,35592.25,2020-04-04
PIP000786,1752.54,63.39,14214.08,2023-12-11
REF000503,1181.9,22.98,5523.54,2018-10-18
WEL001467,4960.18,106.75,29523.33,2020-07-08
REF000376,1728.72,27.73,31141.12,2018-03-11
PIP000390,71.82,125.27,26619.83,2020-07-16
REF000611,208.33,138.9,2075.89,2019-12-25
REF002231,1295.6,105.67,45390.86,2024-09-30
PIP002475,4346.16,66.41,13671.56,2022-03-15
PIP002082,4066.19,67.96,30488.15,2020-06-16
PIP000741,2555.19,91.62,33377.35,2018-06-15
PIP001678,2333.31,192.13,25150.45,2021-12-21
PIP000905,3622.65,165.91,16972.21,2019-04-16
PIP002055,794.4,196.47,4821.16,2020-06-01
REF001809,3795.57,133.85,32683.24,2018-09-11
WEL001308,506.0,109.3,40818.59,2023-06-18
WEL000687,1886.84,61.01,45977.97,2023-04-17
PIP000326,4371.65,57.39,14271.53,2022-03-26
PIP001781,728.75,25.87,39933.35,2020-04-28
REF002890,3705.9,115.34,15420.12,2020-12-03
WEL000770,1638.87,93.6,23474.06,2024-02-24
REF002140,891.08,172.73,1766.62,2020-03-11
REF001014,282.43,189.47,16604.33,2022-04-20
WEL001382,2659.7,187.06,41852.08,2023-03-01
WEL001442,93.37,53.93,24778.64,2023-03-12
REF002309,3223.4,44.02,34967.38,2021-09-18
WEL001747,1844.92,123.55,10340.24,2019-08-28
REF000292,4713.43,30.29,4656.44,2019-12-19
WEL000972,2949.44,164.03,46220.63,2018-08-04
REF001783,1190.76,134.05,42773.87,2018-04-23
WEL001498,3756.4,89.28,39216.56,2020-07-12
PIP001271,944.91,109.6,29037.19,2021-06-29
REF001692,551.01,79.69,49266.28,2024-05-11
WEL001550,1280.98,41.9,32291.86,2020-07-25
WEL002805,3538.13,49.36,18189.38,2022-03-01
PIP002706,2862.36,10.77,15803.13,2020-10-07
REF002100,1617.02,103.48,10551.45,2019-07-02
WEL001537,1861.77,17.56,21153.28,2022-02-03
WEL000320,3266.47,19.65,3850.37,2020-06-08
WEL001722,3128.13,25.91,2312.12,2024-05-20
REF000796,1936.35,159.12,18710.34,2022-12-20
PIP000813,2803.13,124.54,49544.54,2021-12-12
PIP002068,2141.41,153.65,42962.93,2019-11-27
PIP001751,1509.89,105.02,38868.02,2020-02-25
PIP000275,2721.26,132.42,31048.2,2021-07-05
REF002522,1072.19,10.72,9714.28,2023-06-08
WEL002483,2686.13,123.11,49364.71,2024-07-17
REF000456,2108.63,71.39,25593.23,2020-07-15
REF002345,2170.16,179.49,48035.88,2024-02-12
PIP001718,4710.85,22.69,43946.37,2023-02-17
PIP002518,4793.71,199.64,3379.82,2018-09-03
PIP002966,931.3,69.98,27928.21,2018-01-09
PIP000054,4372.37,141.97,32387.93,2021-02-21
WEL000058,3065.56,175.11,26920.58,2021-04-12
REF001706,116.62,91.89,30522.48,2024-09-04
