well_id,date,oil_production_barrels,gas_production_mcf,water_cut_pct,pressure_psi,temperature_c
WEL001434,2018-12-23,4974,13227,26.03,3130,64
WEL002279,2024-11-12,4527,19580,12.35,2324,176
WEL001129,2021-10-12,3114,2286,46.16,2165,83
WEL000628,2022-07-30,4189,6998,54.31,2828,129
WEL000350,2021-05-07,4419,11656,12.1,2164,140
WEL002495,2018-03-02,2148,7073,24.33,3195,123
WEL001065,2019-12-31,1242,8140,24.1,3701,102
WEL002837,2020-11-28,952,18496,32.52,2796,131
WEL001883,2021-10-17,4216,13470,43.99,3746,146
WEL002073,2021-01-14,3300,12444,36.35,3880,108
WEL002425,2018-08-02,4074,15089,5.05,2163,121
WEL000359,2023-03-17,500,10458,42.96,1699,175
WEL002609,2020-08-13,338,12921,50.69,1460,59
WEL000555,2023-02-10,1596,11559,26.93,1026,79
WEL002345,2020-01-30,409,4881,56.52,3163,82
WEL001234,2022-02-04,2522,7214,19.96,1622,164
WEL000734,2018-04-15,2018,1396,22.92,1250,150
WEL000692,2021-07-22,3376,5082,23.12,1931,151
WEL001407,2024-08-02,778,8714,37.42,3921,64
WEL001377,2019-08-18,836,7202,41.15,4515,87
WEL002333,2024-02-08,2860,9367,17.5,1883,96
WEL002836,2021-02-26,2266,9803,50.46,1801,101
WEL002750,2022-08-24,2481,6608,16.27,1017,174
WEL002296,2019-02-18,2812,3256,54.92,3469,136
WEL002512,2024-09-24,4897,12218,57.11,4541,61
WEL000335,2021-12-01,1968,9512,56.75,4659,63
WEL002663,2018-01-27,4698,6626,29.83,1976,65
WEL000437,2019-08-10,1982,11597,15.87,4396,62
WEL001009,2024-04-02,4206,15597,34.59,1938,64
WEL001586,2019-10-03,3588,9965,8.72,4116,99
WEL001712,2024-04-18,461,7935,14.19,2832,168
WEL000340,2024-03-13,3939,17455,24.53,3709,122
WEL000071,2018-01-28,236,2961,47.41,2575,61
WEL001451,2023-05-16,682,15409,37.81,3845,154
WEL001063,2020-05-17,2070,10756,57.44,4388,93
WEL000991,2022-09-05,4119,1906,24.78,4032,147
WEL000314,2021-05-02,3406,15653,33.46,2366,137
WEL001622,2022-09-20,2030,17379,43.45,3789,83
WEL000295,2023-11-04,4501,16897,30.14,2704,178
WEL002046,2019-11-19,646,6549,58.27,4414,120
WEL002064,2021-03-08,3355,13917,50.32,3438,50
WEL000528,2024-10-15,985,11881,21.68,2073,158
WEL001354,2022-03-17,3320,12817,47.26,1587,51
WEL002266,2024-01-09,946,5880,39.71,2510,57
WEL002074,2020-10-18,4437,2860,41.83,4405,106
WEL002268,2021-06-05,193,945,9.06,2687,175
WEL001655,2024-11-20,2988,17537,49.1,3572,136
WEL002582,2023-04-28,1129,2815,23.36,4389,168
WEL000243,2020-08-20,1792,4463,56.47,3255,142
WEL000362,2020-07-08,3164,566,21.29,4343,72
WEL000908,2021-10-06,2260,14239,56.16,2516,72
WEL001178,2022-09-30,4424,6024,7.2,2936,176
WEL001032,2022-04-21,3284,952,15.81,4802,135
WEL001281,2023-07-04,1801,7108,33.68,1571,77
WEL001271,2023-01-20,4265,2864,49.56,1420,85
WEL002348,2019-06-28,345,1650,15.5,2133,129
WEL002840,2019-12-29,628,4581,47.76,4270,140
WEL001135,2023-02-12,343,11869,36.66,4282,177
WEL000329,2023-05-14,2992,888,38.74,2855,131
WEL002325,2020-07-18,403,18857,39.34,3208,90
WEL000075,2019-05-28,2932,1609,30.87,2711,114
WEL000779,2023-02-25,3209,5237,18.3,1097,80
WEL002787,2022-05-23,3566,3204,28.91,3530,156
WEL001150,2022-08-03,4860,1353,37.52,3475,72
WEL001131,2021-10-01,397,1972,13.93,2939,94
WEL000133,2023-08-23,4327,13735,12.18,4614,123
WEL001610,2024-04-18,1343,6319,48.41,1445,79
WEL000669,2021-09-09,3355,16392,10.28,3108,142
WEL002430,2019-03-03,2800,9154,36.76,2535,171
WEL000307,2024-12-27,1079,15282,10.41,4741,65
WEL002721,2019-10-18,2052,13790,16.67,4850,142
WEL000607,2018-06-15,4530,14588,12.76,2676,170
WEL002378,2018-02-17,4439,6735,30.5,4548,171
WEL000965,2018-06-19,3514,2956,24.42,4598,50
WEL000862,2019-11-13,2276,15975,11.76,4424,161
WEL001657,2021-11-18,2304,18157,26.54,4745,166
WEL000191,2019-02-10,3396,761,16.79,2252,115
WEL001503,2022-12-22,3860,10935,17.91,4190,162
WEL001785,2024-04-02,3644,8657,59.08,2081,102
WEL000710,2018-09-15,3842,8183,51.94,1754,71
WEL000878,2020-06-03,2697,2149,5.63,4332,82
WEL000095,2021-06-04,3261,14998,41.69,2208,163
WEL001841,2018-06-29,4910,4294,40.49,4819,179
WEL000318,2021-08-29,2417,10098,38.97,2510,166
WEL002515,2019-05-17,4265,15790,6.97,4149,61
WEL001044,2023-10-10,3682,8800,40.64,1820,110
WEL002050,2023-09-02,3596,5569,45.28,3873,165
WEL002343,2020-06-14,3634,11573,6.47,2078,62
WEL000408,2018-12-12,2864,11489,38.82,1118,172
WEL000830,2019-05-31,3997,2554,34.54,4417,178
WEL002337,2022-05-28,4463,10957,39.05,2117,95
WEL002645,2024-01-17,2145,1064,7.45,2351,137
WEL002190,2021-01-09,3243,10413,16.36,3374,107
WEL000439,2020-01-29,4353,11708,25.58,4205,62
WEL002590,2018-09-04,4272,14728,27.2,4176,169
WEL002349,2018-04-24,1104,3252,59.99,4335,141
WEL000950,2023-08-02,4493,19274,50.91,4967,70
WEL001424,2024-06-30,3461,2923,21.51,2242,147
WEL000564,2021-10-19,1460,9025,54.13,3065,70
WEL002791,2019-11-06,380,2317,9.14,2954,121
WEL000880,2020-11-29,2172,11809,9.01,2840,167
WEL001529,2023-11-12,2132,9558,26.32,1315,174
WEL001303,2024-12-31,3363,9428,37.95,4125,97
WEL000260,2019-03-18,4483,11872,34.33,3357,68
WEL001051,2022-01-18,3807,15343,15.32,3098,80
WEL001526,2022-05-01,3750,9912,5.09,1023,83
WEL000851,2020-03-12,1639,14110,42.01,1769,81
WEL001687,2021-06-27,625,3167,44.31,2832,171
WEL000990,2023-12-10,3795,10636,6.29,3231,114
WEL001009,2024-06-03,183,14303,42.79,1110,168
WEL002369,2024-07-29,4492,16485,23.24,3129,148
WEL000278,2019-05-31,519,5370,46.98,4394,109
WEL001672,2022-07-26,2294,11851,39.1,4756,64
WEL002298,2023-03-16,3956,4181,31.44,3787,164
WEL001869,2024-02-04,3071,12054,30.81,3958,124
WEL002412,2021-10-02,2295,5846,19.73,1528,112
WEL001752,2024-05-04,2224,11079,40.3,4294,94
WEL000901,2024-02-03,3923,17114,21.34,2994,113
WEL002355,2021-06-14,4684,4985,43.41,1963,81
WEL002761,2023-06-02,2761,19978,31.57,4593,110
WEL002440,2019-09-17,1153,16387,39.84,2283,113
WEL002665,2021-05-31,3586,8118,54.2,4042,103
WEL002858,2020-06-28,1101,16033,30.6,1330,66
WEL001796,2022-05-08,2999,12558,24.78,4530,85
WEL001852,2018-11-26,1291,7797,57.09,3064,75
WEL002077,2024-01-15,1808,14176,32.24,4510,160
WEL002790,2020-04-11,416,11938,34.32,2050,147
WEL002091,2023-01-30,102,17001,40.76,2556,74
WEL002199,2022-04-17,2477,17521,22.87,1011,111
WEL002061,2024-02-26,2035,4930,9.66,2512,52
WEL002414,2023-05-23,4384,8677,42.61,2068,162
WEL002497,2018-03-14,4593,11022,44.87,3188,109
WEL000183,2022-03-13,2809,7297,10.48,4621,148
WEL002628,2020-06-21,991,6883,42.22,3859,64
WEL000378,2024-02-27,3030,10646,45.45,4611,177
WEL000062,2020-10-28,3265,4196,8.72,2765,110
WEL001456,2023-08-23,1409,11961,13.06,1082,75
WEL001400,2024-10-31,2294,6631,49.98,2542,86
WEL002309,2024-04-29,1053,11525,55.26,2120,73
WEL001760,2021-04-28,1906,4121,31.86,1005,143
WEL002367,2024-02-02,2808,12850,19.7,4053,168
WEL000592,2018-08-07,1833,14282,53.97,4022,174
WEL001753,2020-03-20,3553,12012,22.84,3906,84
WEL002549,2024-02-15,2155,19841,29.98,2052,177
WEL002080,2018-09-02,2815,6788,12.74,2851,164
WEL002442,2020-06-13,3753,14146,31.93,4605,176
WEL001408,2021-03-17,470,15377,58.47,3353,171
WEL002205,2019-11-02,481,3308,57.81,2005,126
WEL001305,2019-02-12,2781,19694,43.7,1909,111
WEL000315,2018-06-13,578,13456,44.17,3781,176
WEL001458,2024-04-23,1902,11038,34.63,3372,139
WEL001210,2023-02-23,1661,7207,22.67,3480,112
WEL000474,2021-01-13,1428,9848,39.33,4575,94
WEL002896,2018-05-06,2141,2379,40.22,4389,118
WEL001493,2024-09-21,1918,7563,42.8,4138,57
WEL000038,2024-02-29,3358,19508,30.99,1249,69
WEL002398,2023-09-09,3212,19328,11.79,2038,142
WEL001860,2019-08-26,1367,11583,52.4,3033,151
WEL002064,2021-05-13,2824,7160,23.58,3533,57
WEL002213,2019-11-21,1000,5113,19.14,1004,156
WEL002032,2021-01-16,4986,10126,5.82,2509,153
WEL001674,2018-01-07,1169,9246,56.94,4079,142
WEL000443,2021-08-08,4615,613,11.92,2515,154
WEL000820,2022-11-01,3739,7709,27.68,4106,144
WEL000631,2018-05-31,331,19445,9.33,4585,134
WEL000495,2024-08-29,931,9144,21.83,3900,148
WEL000209,2024-03-23,4095,12625,49.51,3361,148
WEL002747,2023-06-24,1181,6033,50.48,3530,72
WEL002996,2022-09-18,4362,6164,25.54,3867,94
WEL001354,2023-05-30,1115,18235,57.64,2226,98
WEL002646,2019-01-13,4616,5760,53.36,2778,142
WEL001101,2019-08-26,1918,10299,15.14,3686,121
WEL000064,2019-04-17,3559,12839,10.08,4730,162
WEL001106,2021-01-17,535,7501,35.05,2841,93
WEL002392,2020-07-09,3514,2674,32.01,4260,67
WEL000059,2023-05-31,1181,7633,22.98,2274,134
WEL000146,2022-01-31,2207,10469,5.84,4887,168
WEL000891,2021-01-20,2377,4605,21.41,4484,72
WEL000493,2020-08-07,1338,6857,30.57,2508,107
WEL000896,2022-10-06,4987,19200,35.16,2354,146
WEL002318,2019-08-11,1101,4750,53.55,1084,67
WEL000110,2021-07-16,3130,12798,45.3,4064,81
WEL001212,2021-01-19,2836,9759,58.56,2805,84
WEL001382,2021-01-25,4543,5476,51.5,4986,133
WEL002900,2024-06-16,2208,1824,43.81,2000,71
WEL001480,2021-12-29,1718,4331,36.16,2879,120
WEL002155,2018-05-09,4348,10633,38.57,1191,84
WEL001522,2018-04-13,193,13893,47.5,4898,174
WEL002368,2021-12-20,3210,4902,23.63,1705,88
WEL002828,2022-07-19,4873,12903,13.56,3883,98
WEL000153,2019-04-14,3828,14479,37.47,4614,156
WEL001823,2020-06-22,768,912,12.73,2247,59
WEL000512,2020-11-05,2243,16448,8.01,3806,158
WEL001422,2023-05-09,2483,16604,42.08,3178,101
WEL002515,2018-05-22,2327,12808,29.87,4439,65
WEL001461,2022-04-19,529,18206,48.87,3411,109
WEL000400,2023-12-25,770,3814,21.43,3344,163
WEL001628,2023-02-18,2831,5429,56.85,1802,51
WEL000196,2024-12-12,2068,2382,26.78,3090,170
WEL002646,2024-03-25,2279,15061,27.92,2578,62
WEL002173,2021-02-06,3365,10202,12.55,1645,79
WEL001489,2024-07-30,1712,4004,10.91,1598,80
WEL002863,2024-07-12,3516,11749,11.78,2945,120
WEL000326,2020-07-17,1943,7548,36.33,4816,177
WEL001475,2018-09-10,4870,19981,28.84,2786,73
WEL000774,2024-08-10,2308,8708,15.02,4926,123
WEL001650,2019-08-25,1380,12589,37.31,4562,135
WEL002442,2024-01-11,3526,7091,12.78,4613,133
WEL000790,2022-08-25,3645,7988,12.51,2179,154
WEL000787,2019-07-06,3280,3998,55.5,3444,151
WEL000672,2023-11-09,870,8947,24.58,2192,110
WEL002612,2024-09-24,2401,13390,14.67,1735,120
WEL000139,2022-07-14,3583,13293,28.86,2491,155
WEL000006,2018-05-14,1548,6341,37.7,2325,107
WEL001365,2019-05-12,2587,12898,18.08,3328,78
WEL000431,2021-09-28,1313,2019,57.03,3057,64
WEL002216,2023-09-14,3662,11677,54.22,2883,139
WEL001572,2023-07-27,1358,4648,56.26,1598,129
WEL002698,2020-04-10,3602,5285,57.32,4467,116
WEL001437,2019-11-17,854,19207,27.89,3549,53
WEL001895,2019-10-22,840,11401,33.78,2012,165
WEL002725,2019-11-20,3885,18651,10.3,3769,116
WEL002044,2021-07-30,1409,10564,7.8,2334,163
WEL001215,2019-09-16,3006,13728,18.21,4211,104
WEL000536,2024-08-11,2187,17547,16.38,3615,89
WEL001223,2021-09-01,4936,14805,56.94,1403,163
WEL001046,2020-03-12,4785,2401,29.28,4768,153
WEL002678,2020-06-24,3649,19691,24.34,2200,175
WEL001976,2018-05-17,2352,5231,49.61,2935,112
WEL001053,2022-09-12,1208,9032,50.6,4374,138
WEL002194,2024-07-21,4542,11602,7.47,2924,54
WEL001598,2022-08-26,2640,10386,52.95,1039,142
WEL001988,2018-08-17,1951,2381,56.05,2274,177
WEL001486,2019-10-23,782,4770,21.2,4384,89
WEL000682,2019-04-01,2218,12833,18.5,1801,128
WEL002011,2022-02-15,4816,5234,30.32,3597,105
WEL000109,2021-07-09,2677,4028,49.37,1418,118
WEL001953,2020-03-14,1147,6352,41.89,1913,126
WEL002700,2024-10-16,1943,2699,52.41,4092,58
WEL002800,2023-08-19,765,15053,29.82,2909,104
WEL000035,2022-08-08,3433,5975,36.16,1238,103
WEL001547,2022-08-12,1833,11324,13.45,4066,77
WEL002061,2021-12-04,657,7433,16.95,4337,73
WEL000356,2022-07-27,4453,12402,29.08,2505,82
WEL002985,2024-07-02,3063,13327,49.39,2289,88
WEL002436,2019-05-20,425,14675,26.78,3448,72
WEL000389,2024-05-01,4559,4637,34.07,1474,149
WEL001466,2022-01-30,977,2364,52.71,2600,135
WEL002438,2023-06-11,1426,1012,25.99,2377,153
WEL002318,2018-09-10,2361,19584,23.96,2486,99
WEL002729,2024-09-11,3240,9943,51.12,3016,50
WEL000479,2022-11-29,2683,14005,23.2,4253,84
WEL000773,2024-10-28,3116,19274,14.53,3537,104
WEL001679,2020-07-25,2791,14853,45.96,3214,51
WEL001338,2018-04-07,783,1907,30.94,4250,149
WEL001027,2024-08-09,1477,16761,48.26,1312,109
WEL002014,2018-10-03,2597,572,14.29,1170,112
WEL002886,2020-07-13,2698,9836,28.02,4178,60
WEL002888,2024-04-28,354,2299,50.68,4816,68
WEL002559,2018-04-16,2992,5655,6.01,1644,82
WEL000894,2020-04-15,3834,19306,12.26,4869,142
WEL001406,2022-09-21,743,1323,24.57,3609,174
WEL001453,2023-07-05,714,15351,15.61,2898,169
WEL002283,2024-07-20,4795,15099,54.57,2289,79
WEL001096,2018-12-24,1677,1979,48.06,1148,135
WEL002797,2024-09-21,4206,18487,52.27,4856,64
WEL001016,2024-12-12,2126,1187,24.42,2574,94
WEL000065,2024-02-15,1361,18387,19.77,4851,89
WEL000305,2024-08-19,4383,2382,59.54,4096,113
WEL000349,2023-02-08,4120,2674,26.85,1026,95
WEL002710,2022-01-20,676,3122,16.73,2727,155
WEL001807,2018-08-11,2204,6041,25.4,4486,67
WEL001958,2020-08-04,2875,7107,6.14,2647,68
WEL001392,2018-09-28,3309,16207,34.37,2579,92
WEL001891,2018-06-16,342,11847,11.08,4139,141
WEL002274,2020-01-28,3497,5888,8.54,1017,94
WEL000351,2019-09-17,121,1046,22.98,1369,131
WEL000914,2023-10-14,2199,1899,57.66,4999,126
WEL000632,2021-03-30,4863,13439,35.13,1726,121
WEL000811,2021-02-21,926,16026,22.23,3884,68
WEL002604,2023-09-17,4894,4565,54.22,1412,92
WEL002237,2023-11-09,1430,12093,37.82,2352,168
WEL002772,2019-07-21,2413,2435,33.42,2816,57
WEL002312,2023-10-05,1892,12612,51.93,1101,56
WEL000134,2018-08-14,3653,903,52.05,3512,148
WEL002481,2023-08-02,1695,16004,43.74,3205,97
WEL000067,2019-02-07,501,17759,38.68,2697,107
WEL000154,2019-02-22,535,15346,53.86,1788,124
WEL001910,2018-11-17,477,7434,10.42,2824,115
WEL000011,2019-04-29,3424,16579,21.35,2328,103
WEL002243,2018-08-17,2863,11600,5.58,2907,93
WEL001134,2018-02-01,3959,4236,50.67,3371,129
WEL002949,2023-12-05,3460,12701,24.78,4243,89
WEL000287,2021-06-09,4296,2380,18.43,2492,64
WEL000715,2024-10-08,337,12147,45.52,2955,67
WEL002345,2024-07-21,926,1672,5.37,3735,141
WEL000410,2023-08-01,611,17614,30.62,4149,135
WEL000555,2022-03-08,1708,8980,59.58,3525,58
WEL001351,2022-03-18,3529,10182,45.27,1129,152
WEL003000,2018-10-17,4067,10033,13.32,4587,157
WEL002884,2019-06-02,4888,5588,8.06,1085,138
WEL002820,2022-09-22,3863,16072,11.74,2412,100
WEL000570,2018-02-24,1204,8704,23.85,1627,96
WEL002769,2019-12-23,3203,6368,34.47,3645,70
WEL000466,2020-07-16,631,2560,57.5,3030,102
WEL000572,2020-09-19,3418,3672,22.07,4450,122
WEL002016,2022-04-20,3733,8970,38.19,3787,114
WEL002794,2024-08-09,1347,17301,18.49,3965,163
WEL001829,2023-08-21,3335,13086,49.45,1393,101
WEL001849,2022-02-12,622,14059,35.85,1054,176
WEL000771,2023-02-01,4665,6929,53.19,3769,107
WEL002039,2024-12-30,1418,12747,11.85,2141,119
WEL000669,2018-06-10,1317,10613,32.34,3949,130
WEL001179,2020-07-08,4172,6007,53.92,1299,179
WEL002623,2023-01-31,2379,16906,55.88,1689,62
WEL000708,2021-06-25,4869,4299,22.67,4751,108
WEL000131,2024-04-15,2377,2134,31.57,1986,162
WEL002411,2022-11-06,3615,18800,21.29,2908,87
WEL001641,2019-07-08,3217,11038,8.03,2072,170
WEL000843,2023-12-27,1192,14371,34.79,4481,72
WEL002149,2022-04-27,1076,5568,6.52,3149,53
WEL002736,2019-07-06,3121,10215,56.37,4103,88
WEL000031,2020-02-25,4546,7981,29.71,2483,127
WEL002457,2021-04-23,2734,11301,48.56,1928,128
WEL001267,2024-09-12,4351,3099,34.68,4534,128
WEL000833,2021-04-08,4179,16587,8.89,4671,118
WEL002877,2021-02-17,3144,6682,15.23,2157,64
WEL002109,2022-03-28,954,3403,47.08,3128,133
WEL001586,2021-09-27,1366,2234,12.93,3671,165
WEL001504,2024-10-25,226,6829,34.85,1629,73
WEL002473,2022-01-22,2404,2322,55.88,2617,175
WEL001158,2020-07-07,2852,17818,47.84,3540,115
WEL002991,2021-06-26,1154,18001,35.43,4728,83
WEL002892,2019-04-29,2802,6639,55.45,2438,157
WEL000215,2021-07-30,1693,10581,50.04,1376,58
WEL001302,2024-10-23,1213,2101,33.67,1333,67
WEL001984,2024-01-05,4777,17596,58.58,4932,145
WEL001800,2019-05-19,2981,8945,17.45,3812,54
WEL000942,2023-04-24,1927,15867,42.04,2184,138
WEL001614,2022-05-04,710,8937,8.18,3239,121
WEL002972,2023-10-31,989,14665,31.58,2677,135
WEL002786,2020-09-24,3716,13648,21.49,2590,104
WEL001902,2020-06-16,4940,12972,52.6,2946,90
WEL002513,2020-05-03,1519,10079,25.41,1248,89
WEL000817,2024-08-04,2115,8112,56.36,4304,149
WEL000220,2022-10-08,3025,9326,50.95,3313,116
WEL000035,2021-09-11,1204,13222,41.12,4568,128
WEL001255,2019-06-29,839,9669,38.1,4042,137
WEL000735,2019-06-19,3120,15392,24.57,1303,57
WEL002964,2023-11-30,4480,18607,36.1,2888,98
WEL001222,2021-09-07,1275,15339,12.99,4589,66
WEL002011,2023-08-26,4113,1548,45.43,1366,173
WEL001220,2022-05-18,1732,1809,49.04,4650,118
WEL000709,2024-05-19,3428,7619,7.46,3098,101
WEL001799,2023-02-04,4364,5651,15.68,4476,101
WEL001564,2024-08-13,2431,3464,30.96,3763,149
WEL002505,2022-02-07,3596,15633,38.38,1311,65
WEL001506,2024-02-20,4060,19384,13.61,1920,143
WEL000306,2019-12-09,4035,18930,51.64,2123,70
WEL001489,2023-05-03,1019,5883,36.91,3788,147
WEL001371,2018-02-17,4852,5562,16.29,4305,80
WEL002720,2018-03-21,2593,12509,35.22,4821,170
WEL002494,2024-01-27,479,13910,24.46,4331,77
WEL000810,2024-03-20,842,11052,44.98,2191,51
WEL000315,2019-01-23,1459,15933,21.17,1921,130
WEL002444,2022-02-02,1469,6000,38.71,1885,80
WEL000136,2019-06-10,1297,2231,14.14,1494,170
WEL000154,2024-01-25,4152,12133,6.85,3782,172
WEL001117,2019-07-10,251,2559,52.03,4439,151
WEL001164,2023-05-20,506,11472,40.42,2927,64
WEL002083,2021-11-01,4660,9847,35.49,3789,175
WEL002392,2019-02-10,1137,4246,21.23,3192,144
WEL001331,2023-12-09,2997,4392,32.59,1181,96
WEL000768,2022-06-21,4610,7487,38.35,1744,52
WEL002643,2018-10-04,658,12657,36.92,2062,69
WEL001729,2024-03-23,4863,19578,43.8,4424,123
WEL001705,2022-12-08,4072,16398,19.33,3132,51
WEL001522,2020-10-08,2215,721,59.68,1373,145
WEL001717,2020-11-26,2229,18705,24.31,2377,63
WEL000131,2022-04-24,4279,10141,14.4,3869,141
WEL001783,2024-11-09,1169,8092,28.45,1640,89
WEL000527,2018-04-09,3422,19906,44.06,4465,75
WEL001670,2024-07-06,2879,2519,48.06,4419,84
WEL001025,2022-06-20,1786,13921,30.63,3841,52
